City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
180,Solnechnyy,RU,2021-09-15 16:30:05,50.7214,136.6319,49.44,83,33,4.85,scattered clouds,0,0
181,Alice Springs,AU,2021-09-15 16:30:05,-23.7,133.8833,69.35,26,52,8.05,broken clouds,0,0
182,Piotrkow Trybunalski,PL,2021-09-15 16:30:06,51.4055,19.7032,71.11,66,95,7.05,overcast clouds,0,0
183,Kavaratti,IN,2021-09-15 16:30:06,10.5669,72.642,81.99,79,52,16.13,broken clouds,0,0
184,Mahebourg,MU,2021-09-15 16:30:07,-20.4081,57.7,69.26,78,15,12.26,few clouds,0,0
185,Mandiana,GN,2021-09-15 16:30:08,10.6333,-8.6833,80.76,83,83,4.92,moderate rain,0,0
186,Yar-Sale,RU,2021-09-15 16:30:09,66.8333,70.8333,39.49,89,10,7.85,clear sky,0,0
187,Fortuna,US,2021-09-15 16:30:10,40.5982,-124.1573,55.74,92,1,3.44,clear sky,0,0
188,Saint-Pierre,RE,2021-09-15 16:30:10,-21.3393,55.4781,71.24,67,0,3.44,clear sky,0,0
189,Kalmar,SE,2021-09-15 16:30:10,56.6616,16.3616,60.73,81,40,11.5,scattered clouds,0,0
190,Guasdualito,VE,2021-09-15 16:30:11,7.2424,-70.7324,87.64,60,78,3.78,broken clouds,0,0
191,Marovoay,MG,2021-09-15 16:30:12,-16.1,46.6333,77.14,48,57,5.91,broken clouds,0,0
192,Esperance,AU,2021-09-15 16:30:12,-33.8667,121.9,60.64,67,88,10.45,overcast clouds,0,0
193,Karratha,AU,2021-09-15 16:30:13,-20.7377,116.8463,68.92,50,4,14.2,clear sky,0,0
194,Lerwick,GB,2021-09-15 16:30:14,60.1545,-1.1494,57.2,87,99,10.18,overcast clouds,0,0
195,Amapa,BR,2021-09-15 16:30:14,1.0,-52.0,97.34,30,0,5.01,clear sky,0,0
196,Souillac,MU,2021-09-15 16:25:51,-20.5167,57.5167,69.37,81,13,10.54,few clouds,0,0
197,Batagay,RU,2021-09-15 16:30:15,67.6333,134.6333,46.83,86,91,3.89,overcast clouds,0,0
198,Bathsheba,BB,2021-09-15 16:30:16,13.2167,-59.5167,90.21,66,40,13.8,scattered clouds,0,0
199,Castro,BR,2021-09-15 16:30:16,-24.7911,-50.0119,68.76,87,97,4.43,overcast clouds,0,0
200,Necochea,AR,2021-09-15 16:30:06,-38.5473,-58.7368,66.04,47,2,15.66,clear sky,0,0
201,Mount Isa,AU,2021-09-15 16:30:17,-20.7333,139.5,56.97,38,8,0.0,clear sky,0,0
202,Ourossogui,SN,2021-09-15 16:30:18,15.6064,-13.3211,104.0,44,20,4.61,few clouds,0,0
203,Muzaffarabad,PK,2021-09-15 16:30:18,34.37,73.4711,72.86,74,0,4.07,clear sky,0,0
204,Pisco,PE,2021-09-15 16:30:18,-13.7,-76.2167,65.01,72,78,9.22,broken clouds,0,0
205,Alta,NO,2021-09-15 16:30:19,69.9689,23.2717,45.64,80,75,2.3,broken clouds,0,0
206,Campos Gerais,BR,2021-09-15 16:30:20,-21.235,-45.7586,95.9,13,30,5.08,scattered clouds,0,0
207,Oktyabrskiy,RU,2021-09-15 16:30:20,54.4815,53.471,48.72,64,70,11.1,broken clouds,0,0
208,Yellowknife,CA,2021-09-15 16:27:01,62.456,-114.3525,50.52,87,90,19.57,overcast clouds,0,0
209,Cayenne,GF,2021-09-15 16:30:05,4.9333,-52.3333,91.44,74,75,5.01,broken clouds,0,0
210,Kapaa,US,2021-09-15 16:30:21,22.0752,-159.319,75.52,75,75,18.41,light rain,0,0
211,San Patricio,US,2021-09-15 16:30:22,28.017,-97.5169,84.29,63,84,9.69,broken clouds,0,0
212,Novyy Urengoy,RU,2021-09-15 16:30:22,66.0833,76.6333,42.53,80,78,4.32,broken clouds,0,0
213,Luchegorsk,RU,2021-09-15 16:30:23,46.4764,134.2569,48.54,80,87,2.06,overcast clouds,0,0
214,Torbay,CA,2021-09-15 16:30:23,47.6666,-52.7314,55.76,66,75,11.5,broken clouds,0,0
215,Jalu,LY,2021-09-15 16:30:24,29.0331,21.5482,84.94,24,0,10.36,clear sky,0,0
216,Pangkalanbuun,ID,2021-09-15 16:30:25,-2.6833,111.6167,73.24,96,99,2.13,overcast clouds,0,0
217,Frydlant Nad Ostravici,CZ,2021-09-15 16:30:25,49.5928,18.3597,77.76,67,100,3.15,overcast clouds,0,0
218,Bandarbeyla,SO,2021-09-15 16:30:26,9.4942,50.8122,77.65,83,98,28.59,overcast clouds,0,0
219,Constantine,DZ,2021-09-15 16:30:26,36.365,6.6147,98.01,19,40,8.05,scattered clouds,0,0
220,Oleksandrivka,UA,2021-09-15 16:30:27,48.9634,32.2349,58.62,28,64,5.55,broken clouds,0,0
221,Camana,PE,2021-09-15 16:30:28,-16.6228,-72.7111,63.93,77,95,11.52,overcast clouds,0,0
222,Itaqui,BR,2021-09-15 16:30:28,-29.1253,-56.5531,67.01,37,2,7.34,clear sky,0,0
223,Letterkenny,IE,2021-09-15 16:29:33,54.95,-7.7333,60.69,94,100,3.02,overcast clouds,0,0
224,Bilma,NE,2021-09-15 16:30:29,18.6853,12.9164,100.36,12,8,6.38,clear sky,0,0
225,Aksu,CN,2021-09-15 16:30:30,41.1231,80.2644,71.53,40,65,6.15,broken clouds,0,0
226,General Roca,AR,2021-09-15 16:30:31,-39.0333,-67.5833,63.0,24,6,21.79,clear sky,0,0
227,Hearst,CA,2021-09-15 16:30:31,49.6835,-83.6665,59.25,60,32,8.55,scattered clouds,0,0
228,Uige,AO,2021-09-15 16:30:32,-7.6087,15.0613,73.63,82,70,1.12,moderate rain,0,0
229,Taltal,CL,2021-09-15 16:26:28,-25.4,-70.4833,62.37,62,0,8.34,clear sky,0,0
230,Lagoa,PT,2021-09-15 16:30:32,39.05,-27.9833,70.65,65,5,3.11,clear sky,0,0
231,Salalah,OM,2021-09-15 16:30:33,17.0151,54.0924,82.49,89,90,5.75,overcast clouds,0,0
232,Kaseda,JP,2021-09-15 16:30:34,31.4167,130.3167,77.65,90,100,12.71,overcast clouds,0,0
233,Hofn,IS,2021-09-15 16:30:34,64.2539,-15.2082,51.82,100,90,6.91,mist,0,0
234,Gornji Milanovac,RS,2021-09-15 16:30:35,44.0333,20.45,82.49,37,3,2.46,clear sky,0,0
235,Paka,MY,2021-09-15 16:30:36,4.6374,103.4368,75.13,94,77,0.0,broken clouds,0,0
236,Forestville,US,2021-09-15 16:30:36,38.8451,-76.875,88.39,59,1,11.5,clear sky,0,0
237,Upernavik,GL,2021-09-15 16:30:37,72.7868,-56.1549,31.51,93,100,16.91,light snow,0,0
238,Havelock,US,2021-09-15 16:26:41,34.8791,-76.9013,86.99,77,1,4.0,clear sky,0,0
239,La Palma,US,2021-09-15 16:30:38,33.8464,-118.0467,78.96,77,75,1.01,broken clouds,0,0
